bus,jan-09,feb-09,mar-09,apr-09,may-09,jun-09,jul-09,aug-09,sep-09,oct-09,nov-09,dec-09,jan-10,feb-10,mar-10,apr-10,may-10,jun-10,jul-10,aug-10,sep-10,oct-10,nov-10,dec-10,jan-11,feb-11,mar-11,apr-11,may-11,jun-11,jul-11,aug-11,sep-11,oct-11,nov-11,dec-11,jan-12,feb-12,mar-12,apr-12,may-12,jun-12,jul-12,aug-12,sep-12,oct-12,nov-12,dec-12,jan-13,feb-13,mar-13,apr-13,may-13,jun-13,jul-13,aug-13,sep-13,oct-13,nov-13,dec-13,jan-14,feb-14,mar-14,apr-14,may-14,jun-14,jul-14,aug-14,sep-14,oct-14,nov-14,dec-14
96,59742,53180,64451,56952,60105,64636,66595,64407,61993,59635,56464,56544,58787,56820,66702,65757,65525,66212,64043,64831,69051,67700,63412,55997,58776,55982,63736,66360,68590,64199,41913,43941,42086,42434,37500,37499,40602,40380,43176,42874,41366,42823,43234,53452,42408,45395,38555,35713,38610,38287,43069,44375,42927,40851,44826,43879,41514,45253,39105,39143,40990,37524,41443,42442,42277,36978,39128,38812,37197,41516,37171,37704
102,55670,52212,61429,57914,58772,55818,55094,52890,54966,58424,55286,50450,46128,45788,51971,50198,51372,48686,40320,40672,42485,39926,39525,39503,42637,43532,47398,45101,47775,47704,43742,46890,47777,48195,42814,45292,45664,45805,47581,45496,46150,53459,63198,69954,68406,73619,67381,65082,70476,68040,75301,77046,80113,73072,72127,76270,73578,76526,68725,69530,71975,70032,77396,75028,77569,70461,72481,76659,76088,81492,74918,71567
105,342037,315992,354943,340912,354208,340482,339711,341508,346321,365119,343200,348479,342450,332160,378097,360292,374710,363144,354358,355735,354784,359466,344873,338922,352107,341224,377142,373351,373670,365348,358383,365591,373882,382947,366939,379324,378288,372981,390395,378281,406512,389604,381226,403447,390960,413123,377402,380788,390068,374544,413827,404154,413262,391098,395399,415796,403314,423142,389790,401678,399740,374228,412800,396450,409677,370364,370511,387815,374585,388552,367597,371433
108,431453,397992,439067,422504,425951,428610,433883,423766,429514,455514,418186,418132,401009,404640,480258,451038,448935,451522,431911,432838,429976,434656,421363,411294,428187,416192,475932,453534,465210,459388,428248,452071,449491,459969,437164,439757,443685,448344,474145,445706,479018,449902,432109,467603,442787,482864,429692,407972,440921,433748,467170,467582,475502,436515,460904,478217,459058,503684,447255,459687,473363,452380,490919,486238,493259,452086,461705,480201,477109,511293,455575,463691
110,248607,235808,267917,258980,257599,256068,250954,239973,248483,258582,236660,231458,222043,226960,266221,251104,248772,251732,233336,237927,244220,241202,235177,226314,235378,233864,267556,252879,264608,258616,232148,245579,245571,246022,231828,234620,236890,241723,258611,243452,263664,246346,235504,256487,244489,268163,235416,220455,243645,235740,257012,261370,267048,237606,243350,257378,253946,275522,244100,243877,251241,247584,272921,268230,269407,242723,248482,258300,262532,280902,243693,241562
111,410555,383380,444668,419046,424318,414546,429767,427606,428211,443467,414368,401155,399088,388972,458888,440152,453432,439526,413381,416517,422578,424311,398075,450331,508301,491644,564357,549765,555323,548280,508299,536286,535099,544085,508159,509112,512005,512207,544333,515728,551555,521449,505568,534426,526255,573749,510024,492810,522029,510384,561089,558234,565682,522213,534713,561335,554498,591933,533805,532585,546838,520028,569678,553668,556872,509302,515587,531606,522947,549166,490635,483067
115,370753,344460,395400,370036,374824,366100,366495,366948,367058,383624,356164,342889,327591,325952,379664,352078,363054,355916,351190,346304,356322,356695,338351,365566,415195,409584,465883,443423,456405,445302,405751,433621,444161,456596,428814,415788,433163,436823,465825,434701,473569,434035,421053,452029,451604,497583,436706,410759,450589,441048,470658,471574,483691,427525,443532,453133,460984,496193,441495,432119,453157,432572,469802,465742,477660,430503,440667,446468,455229,487562,421368,422838
117,282832,252720,292003,282346,290765,280606,285405,270693,279701,289665,263610,263798,257838,254108,295332,275990,278951,273792,264881,264958,263751,261799,251755,232704,241097,233740,267294,258014,266073,265070,253228,262959,266855,269103,252364,248444,255014,253699,263350,246285,269665,255767,251827,272824,264467,287379,254521,247145,260865,254928,277770,274208,282749,258439,265817,282926,279296,294842,260670,262910,272321,258448,282092,274790,279952,256159,264186,275714,270140,283078,250872,248935
120,64999,65700,72531,64688,65680,64914,66795,64465,79286,83180,74460,68979,62696,68688,78802,72554,72146,68050,64151,65476,75146,70349,68158,83163,105048,102628,117043,108723,115482,109480,101176,112893,116588,115117,108543,103699,109779,112625,119044,109649,119761,107395,103368,113400,116889,128547,108960,99938,109317,110884,114179,115980,117908,108522,110986,116234,115514,125291,106655,100991,104414,102296,111491,107504,109548,98829,103303,106252,113217,119569,99363,97556
121,71964,67396,74435,71320,70332,72348,73179,69114,75667,77197,69536,68366,70718,69992,81450,74664,76048,74616,66129,65829,66954,65876,62347,24526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
